Название точки привлечения туристов,Кол-во запросов в месяц,Тип точки привлечения туристов,Долгота,Доступность автомобиля,Доступность автобуса,Доступность внедорожника,Доступность водныого транспорта,Доступность самолета,Широта,Театр,Этнический центр,Музей,Детский туризм,Городские достопримечательности,Достопримечательность,Культурный центр,Судостроение,Нац. парк,Санаторий,Обзорная площадка,Горнолыжный курорт
Музей «Ошевенская Волость»,20.0,Достопримечательность,38.780617,True,True,False,False,False,61.858458,False,False,False,False,False,True,False,False,False,False,False,False
Музей семьи Шевелевых и каргопольской глиняной игрушки,18.0,Этнический центр,38.937558,True,True,False,False,False,61.506561,False,True,False,False,False,False,False,False,False,False,False,False
Ошевенский Погост,229.0,Достопримечательность,38.780199,True,True,False,False,False,61.863173,False,False,False,False,False,True,False,False,False,False,False,False
Собор Рождества Христова (Христорождественский собор),29.0,Достопримечательность,38.948234,True,True,False,False,False,61.503037,False,False,False,False,False,True,False,False,False,False,False,False
"Центр народных ремесел ""Берегиня""",30.0,Этнический центр,38.95328,True,True,False,False,False,61.506805,False,True,False,False,False,False,False,False,False,False,False,False
"Национальный парк ""Кенозерский""",3932.0,Нац. парк,38.253339,True,True,False,False,False,61.779822,False,False,False,False,False,False,False,False,True,False,False,False
Дом-музей Н.Г. Кузнецова,144.0,Музей,46.615435,True,True,False,False,False,61.055146,False,False,True,False,False,False,False,False,False,False,False,False
Коряжемский Николаевский монастырь,16.0,Достопримечательность,47.188923,True,True,False,False,False,61.315631,False,False,False,False,False,True,False,False,False,False,False,False
Котласский краеведческий музей,103.0,Музей,46.628384,True,True,False,False,False,61.260602,False,False,True,False,False,False,False,False,False,False,False,False
Дом-усадьба художника А. Борисова,29.0,Музей,46.024354,True,True,False,False,False,61.537149,False,False,True,False,False,False,False,False,False,False,False,False
Красноборский историко-мемориальный и художественный музей имени С.И. Тупицына,17.0,Музей,45.940148,True,True,False,False,False,61.559635,False,False,True,False,False,False,False,False,False,False,False,False
"Санаторий ""Солониха""",2462.0,Санаторий,45.998683,True,True,False,False,False,61.509683,False,False,False,False,False,False,False,False,False,True,False,False
Резиденция Матушки Зимы,36.0,Детский туризм,49.078397,True,True,False,False,False,62.172214,False,False,False,True,False,False,False,False,False,False,False,False
Церковь во имя Всех Святых (Яренск),15.0,Достопримечательность,49.101592,True,True,False,False,False,62.172591,False,False,False,False,False,True,False,False,False,False,False,False
Лешуконский дом ремёсел,7.0,Этнический центр,45.763164,True,True,False,False,False,64.90067,False,True,False,False,False,False,False,False,False,False,False,False
Мезенский историко-краеведческий музей,26.0,Музей,44.246118,True,True,False,False,False,65.8408,False,False,True,False,False,False,False,False,False,False,False,False
"Музей ""Короля лыж"" В.С. Кузина",1.0,Музей,44.606834,True,True,False,False,False,65.572896,False,False,True,False,False,False,False,False,False,False,False,False
Музей мельниц,1.0,Музей,44.607297,True,True,False,False,False,65.573143,False,False,True,False,False,False,False,False,False,False,False,False
Одигитриевская церковь в Кимже,8.0,Музей,44.606233,True,True,False,False,False,65.571011,False,False,True,False,False,False,False,False,False,False,False,False
"Национальный парк ""Онежское Поморье""",755.0,Нац. парк,37.204318,True,True,False,False,False,64.970226,False,False,False,False,False,False,False,False,True,False,False,False
"""Дом Няна"", краеведческий центр",70.0,Достопримечательность,40.20407,False,False,True,False,False,61.663596,False,False,False,False,False,True,False,False,False,False,False,False
Вознесенская церковь и колокольня в Пияле,7.0,Достопримечательность,39.067961,True,True,False,False,False,63.461,False,False,False,False,False,True,False,False,False,False,False,False
Деревянный храм Зосимы и Савватия Соловецких (XIX век) и деревянный тройник (XVII - XVIII век),111.0,Достопримечательность,37.698328,False,False,True,False,False,63.9435,False,False,False,False,False,True,False,False,False,False,False,False
Дом-музей полярного исследователя Александра Кучина,1.0,Музей,38.120311,True,True,False,False,False,63.9077,False,False,True,False,False,False,False,False,False,False,False,False
Крестный монастырь на острове Кий,21.0,Достопримечательность,37.890115,False,False,False,True,False,63.998502,False,False,False,False,False,True,False,False,False,False,False,False
Онежский историко-мемориальный музей,23.0,Музей,38.115364,False,False,False,True,False,63.900479,False,False,True,False,False,False,False,False,False,False,False,False
Свято-Богоявленский Кожеозерский монастырь,305.0,Достопримечательность,38.083091,False,False,False,True,False,63.158198,False,False,False,False,False,True,False,False,False,False,False,False
Дом пинежской прялки,1.0,Музей,43.385266,True,True,False,False,False,64.68373,False,False,True,False,False,False,False,False,False,False,False,False
Карпогорский районный Дом народного творчества,9.0,Этнический центр,44.442234,True,True,False,False,False,63.999392,False,True,False,False,False,False,False,False,False,False,False,False
Музей Карста,2.0,Музей,44.076387,True,True,False,False,False,64.84839,False,False,True,False,False,False,False,False,False,False,False,False
Свято-Артемиево-Веркольский Мужской монастырь,87.0,Достопримечательность,45.160274,True,True,False,False,False,63.79767,False,False,False,False,False,True,False,False,False,False,False,False
Семейный музей Абрамовых (Семейный музей в доме брата Ф. Абрамова – Михаила),1.0,Музей,45.139203,True,True,False,False,False,63.803191,False,False,True,False,False,False,False,False,False,False,False,False
Сурский Иоанновский женский монастырь,49.0,Достопримечательность,45.63601,True,True,False,False,False,63.576403,False,False,False,False,False,True,False,False,False,False,False,False
Церковь Покрова Пресвятой Богородицы в д. Шотова,8.0,Достопримечательность,44.337733,True,True,False,False,False,64.012063,False,False,False,False,False,True,False,False,False,False,False,False
Коношский краеведческий музей,43.0,Музей,40.254381,True,True,False,False,False,60.974465,False,False,True,False,False,False,False,False,False,False,False,False
"Музейно-выставочное пространство ""Иосиф Бродский в Норенской""",4.0,Музей,40.674706,True,True,False,False,False,60.934555,False,False,True,False,False,False,False,False,False,False,False,False
"""Малые Корелы"", музей деревянного зодчества",216.0,Музей,40.94509,True,True,False,False,False,64.453161,False,False,True,False,False,False,False,False,False,False,False,False
Аэропорт-музей в деревне Лопшеньга,1.0,Музей,37.710701,True,True,False,False,False,64.984324,False,False,True,False,False,False,False,False,False,False,False,False
Дом Сени Малины,5.0,Достопримечательность,40.873168,False,False,False,False,True,64.477736,False,False,False,False,False,True,False,False,False,False,False,False
Музей Лоцманской славы,9.0,Достопримечательность,40.437487,True,True,False,False,False,64.595441,False,False,False,False,False,True,False,False,False,False,False,False
Музей народных промыслов и ремесел Приморья,62.0,Музей,40.847891,True,True,False,False,False,64.477552,False,False,True,False,False,False,False,False,False,False,False,False
Музей поморской варежки,10.0,Музей,40.806877,True,True,False,False,False,64.416813,False,False,True,False,False,False,False,False,False,False,False,False
"Санаторий ""Беломорье""",12400.0,Санаторий,40.888114,True,True,False,False,False,64.2945,False,False,False,False,False,False,False,False,False,True,False,False
Свято-Троицкий Антониево-Сийский мужской монастырь,1079.0,Достопримечательность,42.090065,True,True,False,False,False,63.581279,False,False,False,False,False,True,False,False,False,False,False,False
Храм Вознесения Господня,5.0,Достопримечательность,40.34131,True,True,False,False,False,64.577047,False,False,False,False,False,True,False,False,False,False,False,False
Храмовый ансамбль в селе Нёнокса,24.0,Достопримечательность,39.191683,True,True,False,False,False,64.620519,False,False,False,False,False,True,False,False,False,False,False,False
Яреньгский музей «Поморская изба»,96.0,Достопримечательность,34.62589,True,True,False,False,False,66.706467,False,False,False,False,False,True,False,False,False,False,False,False
Остров Ягры,1687.0,Обзорная площадка,39.825897,True,True,False,False,False,64.61882,False,False,False,False,False,False,False,False,False,False,True,False
Северодвинский драматический театр,1500.0,Театр,39.795789,True,True,False,False,False,64.55172,True,False,False,False,False,False,False,False,False,False,False,False
Северодвинский краеведческий музей,300.0,Музей,39.281036,True,True,False,False,False,64.623892,False,False,True,False,False,False,False,False,False,False,False,False
Голгофо-Распятский скит,109.0,Достопримечательность,36.04829,True,True,False,False,False,65.146848,False,False,False,False,False,True,False,False,False,False,False,False
