Название точки привлечения туристов,Кол-во запросов в месяц,Тип точки привлечения туристов,Долгота,Доступность автомобиля,Доступность автобуса,Доступность внедорожника,Доступность водныого транспорта,Доступность самолета,Широта,Театр,Этнический центр,Музей,Детский туризм,Городские достопримечательности,Достопримечательность,Культурный центр,Судостроение,Нац. парк,Санаторий,Обзорная площадка,Горнолыжный курорт,Коэффициент кол-ва запросов в месяц окружающих объектов
Соловецкий морской музей,53.0,Музей,35.705865,False,False,False,False,True,65.024364,False,False,True,False,False,False,False,False,False,False,False,False,15019.268000000002
Соловецкий монастырь,15622.0,Достопримечательность,35.717365,False,False,False,False,True,65.024281,False,False,False,False,False,True,False,False,False,False,False,False,15861.984
"Благовещенский собор (XVI в.), экспозиционный комплекс",130.0,Музей,46.924626,False,False,False,False,True,61.327791,False,False,True,False,False,False,False,False,False,False,False,False,4836.03
Введенский собор,118.0,Достопримечательность,46.928389,True,True,False,False,False,61.333007,False,False,False,False,False,True,False,False,False,False,False,False,4995.338
Дом купцов Пьянковых (I пол. XIX в.),194.0,Музей,46.932067,True,True,False,False,False,61.331277,False,False,True,False,False,False,False,False,False,False,False,False,5082.396000000001
Литературная усадьба и музей Козьмы Пруткова,49.0,Достопримечательность,46.929015,True,True,False,False,False,61.331288,False,False,False,False,False,True,False,False,False,False,False,False,5040.88
Музей политической ссылки (музей И.В. Сталина),90.0,Музей,46.934791,True,True,False,False,False,61.331951,False,False,True,False,False,False,False,False,False,False,False,False,5017.481000000001
"Санаторий ""Сольвычегодск""",4380.0,Санаторий,46.931559,True,True,False,False,False,61.331642,False,False,False,False,False,False,False,False,False,True,False,False,5102.884000000001
Сольвычегодский историко-художественный музей,143.0,Музей,46.931293,True,True,False,False,False,61.330122,False,False,True,False,False,False,False,False,False,False,False,False,5028.453
"Экспозиционно-выставочный комплекс ""Дом купцов Хаминовых""",15.0,Музей,46.928978,True,True,False,False,False,61.330416,False,False,True,False,False,False,False,False,False,False,False,False,5018.363
"""Малиновка"", Центр активного отдыха",200.0,Горнолыжный курорт,43.357443,True,True,False,False,False,61.12472,False,False,False,False,False,False,False,False,False,False,False,True,214.352
Устьянский краеведческий музей,84.0,Музей,43.162053,True,True,False,False,False,61.090365,False,False,True,False,False,False,False,False,False,False,False,False,89.934
Устьянский центр народного творчества,23.0,Этнический центр,43.292886,True,True,False,False,False,61.111688,False,True,False,False,False,False,False,False,False,False,False,False,169.472
Историко-мемориальный музей М.В. Ломоносова,126.0,Достопримечательность,41.733645,True,True,False,False,False,64.2302,False,False,False,False,False,True,False,False,False,False,False,False,4227.982
Село Ломоносово,4073.0,Достопримечательность,41.732359,True,True,False,False,False,64.22938,False,False,False,False,False,True,False,False,False,False,False,False,4270.648999999999
Фабрика Холмогорской резьбы по кости,37.0,Этнический центр,41.733516,True,True,False,False,False,64.230262,False,True,False,False,False,False,False,False,False,False,False,False,4227.893
"Церковь Димитрия Солунского, с. Ломоносово",38.0,Достопримечательность,41.739181,True,True,False,False,False,64.23162,False,False,False,False,False,True,False,False,False,False,False,False,4101.954
Шенкурский районный краеведческий музей,150.0,Достопримечательность,42.902558,True,True,False,False,False,62.103525,False,False,False,False,False,True,False,False,False,False,False,False,150.0
