Название точки привлечения туристов,Кол-во запросов в месяц,Долгота,Доступность автомобиля,Доступность автобуса,Доступность внедорожника,Доступность водныого транспорта,Доступность самолета,Широта,Театр,Этнический центр,Музей,Детский туризм,Городские достопримечательности,Достопримечательность,Культурный центр,Судостроение,Нац. парк,Санаторий,Обзорная площадка,Горнолыжный курорт,Коэффициент удаленности от гостинниц
Дом-музей Н.Г. Кузнецова,144.0,46.615435,True,True,False,False,False,61.055146,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Коряжемский Николаевский монастырь,16.0,47.188923,True,True,False,False,False,61.315631,False,False,False,False,False,True,False,False,False,False,False,False,41.38
Котласский краеведческий музей,103.0,46.628384,True,True,False,False,False,61.260602,False,False,True,False,False,False,False,False,False,False,False,False,79.72999999999999
Дом-усадьба художника А. Борисова,29.0,46.024354,True,True,False,False,False,61.537149,False,False,True,False,False,False,False,False,False,False,False,False,15.129999999999999
Красноборский историко-мемориальный и художественный музей имени С.И. Тупицына,17.0,45.940148,True,True,False,False,False,61.559635,False,False,True,False,False,False,False,False,False,False,False,False,21.86
"Санаторий ""Солониха""",2462.0,45.998683,True,True,False,False,False,61.509683,False,False,False,False,False,False,False,False,False,True,False,False,16.380000000000003
Резиденция Матушки Зимы,36.0,49.078397,True,True,False,False,False,62.172214,False,False,False,True,False,False,False,False,False,False,False,False,8.95
Церковь во имя Всех Святых (Яренск),15.0,49.101592,True,True,False,False,False,62.172591,False,False,False,False,False,True,False,False,False,False,False,False,9.03
Лешуконский дом ремёсел,7.0,45.763164,True,True,False,False,False,64.90067,False,True,False,False,False,False,False,False,False,False,False,False,0.0
Мезенский историко-краеведческий музей,26.0,44.246118,True,True,False,False,False,65.8408,False,False,True,False,False,False,False,False,False,False,False,False,0.0
"Музей ""Короля лыж"" В.С. Кузина",1.0,44.606834,True,True,False,False,False,65.572896,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Музей мельниц,1.0,44.607297,True,True,False,False,False,65.573143,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Одигитриевская церковь в Кимже,8.0,44.606233,True,True,False,False,False,65.571011,False,False,True,False,False,False,False,False,False,False,False,False,0.0
"Национальный парк ""Онежское Поморье""",755.0,37.204318,True,True,False,False,False,64.970226,False,False,False,False,False,False,False,False,True,False,False,False,0.0
"""Дом Няна"", краеведческий центр",70.0,40.20407,False,False,True,False,False,61.663596,False,False,False,False,False,True,False,False,False,False,False,False,18.64
Вознесенская церковь и колокольня в Пияле,7.0,39.067961,True,True,False,False,False,63.461,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Деревянный храм Зосимы и Савватия Соловецких (XIX век) и деревянный тройник (XVII - XVIII век),111.0,37.698328,False,False,True,False,False,63.9435,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Дом-музей полярного исследователя Александра Кучина,1.0,38.120311,True,True,False,False,False,63.9077,False,False,True,False,False,False,False,False,False,False,False,False,26.94
Крестный монастырь на острове Кий,21.0,37.890115,False,False,False,True,False,63.998502,False,False,False,False,False,True,False,False,False,False,False,False,9.71
Онежский историко-мемориальный музей,23.0,38.115364,False,False,False,True,False,63.900479,False,False,True,False,False,False,False,False,False,False,False,False,25.509999999999998
Свято-Богоявленский Кожеозерский монастырь,305.0,38.083091,False,False,False,True,False,63.158198,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Дом пинежской прялки,1.0,43.385266,True,True,False,False,False,64.68373,False,False,True,False,False,False,False,False,False,False,False,False,8.36
Карпогорский районный Дом народного творчества,9.0,44.442234,True,True,False,False,False,63.999392,False,True,False,False,False,False,False,False,False,False,False,False,9.13
Музей Карста,2.0,44.076387,True,True,False,False,False,64.84839,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Свято-Артемиево-Веркольский Мужской монастырь,87.0,45.160274,True,True,False,False,False,63.79767,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Семейный музей Абрамовых (Семейный музей в доме брата Ф. Абрамова – Михаила),1.0,45.139203,True,True,False,False,False,63.803191,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Сурский Иоанновский женский монастырь,49.0,45.63601,True,True,False,False,False,63.576403,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Церковь Покрова Пресвятой Богородицы в д. Шотова,8.0,44.337733,True,True,False,False,False,64.012063,False,False,False,False,False,True,False,False,False,False,False,False,5.52
Коношский краеведческий музей,43.0,40.254381,True,True,False,False,False,60.974465,False,False,True,False,False,False,False,False,False,False,False,False,26.28
"Музейно-выставочное пространство ""Иосиф Бродский в Норенской""",4.0,40.674706,True,True,False,False,False,60.934555,False,False,True,False,False,False,False,False,False,False,False,False,0.0
"""Малые Корелы"", музей деревянного зодчества",216.0,40.94509,True,True,False,False,False,64.453161,False,False,True,False,False,False,False,False,False,False,False,False,7.290000000000001
Аэропорт-музей в деревне Лопшеньга,1.0,37.710701,True,True,False,False,False,64.984324,False,False,True,False,False,False,False,False,False,False,False,False,0.0
