"Name, address",lon,lat,place_id
"Лакомка, Магистральная улица, Oktyabrskiy, Arkhangelsk Oblast, Russia, 165210",43.18543385,61.09490315,5122a9e04bbc97454059008556c9258c4e40f00102f90174be7f0e0000000092030ed09bd0b0d0bad0bed0bcd0bad0b0
"""Пивной БАР""он"", улица Чехова 11, Oktyabrskiy, Arkhangelsk Oblast, Russia, 165210",43.199715141968,61.0950187,5138cf99c48e994540591dbea958298c4e40f00102f9017a454a0f0000000092031a22d09fd0b8d0b2d0bdd0bed0b920d091d090d0a022d0bed0bd22
"Клюква, Магистральная улица, Сосенки 3, Oktyabrskiy, Arkhangelsk Oblast, Russia, 165210",43.192435532158,61.0966021,51a2c336baa1984540599e4c24755d8c4e40f00102f9011058d5200000000092030cd09ad0bbd18ed0bad0b2d0b0
"Кафе Виктория, Молодёжная улица 2, Bereznik, Arkhangelsk Oblast, Russia, 165234",43.6205814,61.2339268,51c0c018366fcf454059c18e3d50f19d4e40f00102f901c40cd42700000000920319d09ad0b0d184d0b520d092d0b8d0bad182d0bed180d0b8d18f
"Надежда, Базарная площадь 2, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1147944,61.0714155,51c8e13895b10e4540598b37a62424894e40f00103f90188517b560000000092030ed09dd0b0d0b4d0b5d0b6d0b4d0b0
"Закусочная, улица Конева, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1138879,61.0841377,517ff4f2e0930e454059b0ae3206c58a4e40f00103f901b8c60f5f00000000920314d097d0b0d0bad183d181d0bed187d0bdd0b0d18f
"Столовая, Центральная улица 16, Kozlovskaya, Arkhangelsk Oblast, Russia",42.8437559,61.1034346,514d277e31006c45405926e353583d8d4e40f00103f901d71b4f6600000000920310d0a1d182d0bed0bbd0bed0b2d0b0d18f
"Эдельвейс, Советская улица, Oktyabrskiy, Arkhangelsk Oblast, Russia, 165210",43.1649594,61.0900144,517a15be631d95454059ffd58797858b4e40f00103f901e5a4029c00000000920312d0add0b4d0b5d0bbd18cd0b2d0b5d0b9d181
"Олимп, Лыжная трасса, Arkhangelsk Oblast, Russia",43.4344484,61.1068723,5156e652019cb7454059746cd8fdad8d4e40f00103f9016a869ea10000000092030ad09ed0bbd0b8d0bcd0bf
"Фристайл, Лыжная трасса, Arkhangelsk Oblast, Russia",43.4415676,61.1090987,51927c804985b84540596c043ef2f68d4e40f00103f90172869ea100000000920310d0a4d180d0b8d181d182d0b0d0b9d0bb
"Столовая, улица Домостроителей, Oktyabrskiy, Arkhangelsk Oblast, Russia, 165210",43.1887134,61.0856902,5191a8bcc22798454059b20b83e5f78a4e40f00103f901e3aceea900000000920310d0a1d182d0bed0bbd0bed0b2d0b0d18f
"Банкетный зал, Советская улица, Oktyabrskiy, Arkhangelsk Oblast, Russia, 165210",43.166157,61.0893218,512f80f0a144954540594fa994e56e8b4e40f00103f9017536b6c000000000920319d091d0b0d0bdd0bad0b5d182d0bdd18bd0b920d0b7d0b0d0bb
"Ресторан ""Dolce Vita"", 11К-055 70, Voronovskaya, Arkhangelsk Oblast, Russia, 165100",42.1221998,61.0971238,51f249383ea40f4540590a15808d6e8c4e40f00103f9012d546c2c0100000092031dd0a0d0b5d181d182d0bed180d0b0d0bd2022446f6c6365205669746122
"Трактир «Медведь», «Холмогоры» 2А, Ivanskoe, Arkhangelsk Oblast, Russia, 165131",42.3740875,61.2921308,51d32b6519e22f454059dbcac78a64a54e40f00103f90144501c3d01000000920321d0a2d180d0b0d0bad182d0b8d18020c2abd09cd0b5d0b4d0b2d0b5d0b4d18cc2bb
"На Троицкой, улица Нечаевского 1, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1140106,61.0772181,51dc323be6970e45405913d56248e2894e40f00103f901fab0029a01000000920315d09dd0b020d0a2d180d0bed0b8d186d0bad0bed0b9
"«Холмогоры», Pustyn'ga, Arkhangelsk Oblast, Russia, 165131",42.2101668267222,61.1541483,515c546ca0e61a4540599fdabfb4ba934e40f00102f9019019bf0d00000000
"Пролетарская улица, Shangaly, Arkhangelsk Oblast, Russia, 165230",43.34676845,61.12382215,51700498e862ac454059f1217e67d98f4e40f00102f90196f2671f00000000
"улица Ленина, Kuloy, Arkhangelsk Oblast, Russia, 195100",42.504519,61.0314156,51f69a1e1494404540596d0c2b6d05844e40f00103f901db9adf3e00000000
"переулок Сосновка, Vel'sk, Arkhangelsk Oblast, Russia, 165151",42.1382493,61.0587423,51f1182f27b211454059427324de84874e40f00103f90133ce155a00000000
"улица Климовского 33, Vel'sk, Arkhangelsk Oblast, Russia, 165151",42.1474846,61.0503449,51f2d47ec6e012454059e743a5b371864e40f00103f9014628285a00000000
"Красная улица 8, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1209752,61.0803538,5143d0871d7c0f4540599f4e8b08498a4e40f00103f90153013d5a00000000
"Заводская улица 25, Vel'sk, Arkhangelsk Oblast, Russia, 165151",42.1586951,61.0482451,518944fc1e5014454059f3193fe52c864e40f00103f901e564565a00000000
"Дорожная улица, Горка Муравьевская, Arkhangelsk Oblast, Russia, 165115",42.1454015,61.1062543,5108a52f849c124540597b87afbd998d4e40f00103f901c9188d5d00000000
"Привокзальная улица, Kostylevo, Arkhangelsk Oblast, Russia",43.2311614,61.0690742,517d8c5eb2969d4540598dc0666cd7884e40f00103f901c2b5b96800000000
"Коммунальная улица, Oktyabrskiy, Arkhangelsk Oblast, Russia, 165210",43.1495615,61.0886239,51ce9ecbd42493454059d1d22b07588b4e40f00103f90134a4392601000000
"улица Дзержинского 67, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1129376,61.0731915,518f3e41bd740e454059f82cd1565e894e40f00103f901dd50385801000000
"Набережная 56 кА, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1167752,61.0721359,51ee7d607df20e454059d96fcdbf3b894e40f00103f9019b57385801000000
"Спортивный переулок 9А, Bereznik, Arkhangelsk Oblast, Russia, 165234",43.6167747,61.2318002,5106c02e79f2ce45405910d506a1ab9d4e40f00103f901a710de7e01000000
"Спортивная улица 10А, Kononovskaya, Arkhangelsk Oblast, Russia",43.4492027,61.1072836,5130e35c797fb9454059b1721478bb8d4e40f00103f901f0eee1fb01000000
"Столовая, Двинской — Пиньгиша, Dvinskoy, Arkhangelsk Oblast, Russia",41.8957712015357,63.5102579,51241046dfadf2444059a20c6bc84fc14f40f00102f901816ce11500000000920310d0a1d182d0bed0bbd0bed0b2d0b0d18f
"Огни Вельска, улица Гагарина 36, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0976783,61.0660596,51b203f8b8800c454059138c1aa474884e40f00103f9018a05455a00000000920317d09ed0b3d0bdd0b820d092d0b5d0bbd18cd181d0bad0b0
"ПиццаФабрика, улица Дзержинского 94, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.106728,61.0659996,51a3c85a43a90d4540593b87c9ac72884e40f00103f90142a6f23c02000000920318d09fd0b8d186d186d0b0d0a4d0b0d0b1d180d0b8d0bad0b0
"Dodo Pizza, Советская улица 91/11 к1, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1059111,61.0701048,514564b37e8e0d4540594f66b331f9884e40f00103f90117feeb0f01000000920313d094d0bed0b4d0be20d09fd0b8d186d186d0b0
"Шашлык, люля, рёбрышки, «Холмогоры», Низовское сельское поселение, Vologda Oblast, Russia, 162300",42.0560797,60.8365775,5117bc9e9e2d07454059694ab9f8146b4e40f00103f901d5477b5a01000000920328d0a8d0b0d188d0bbd18bd0ba2c20d0bbd18ed0bbd18f2c20d180d191d0b1d180d18bd188d0bad0b8
"Кафе ""Живое пиво"", улица Дзержинского 122Б, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0972846941725,61.05819705,519ef883d3730c4540592c73250573874e40f00102f90119f14e080000000092031ed09ad0b0d184d0b52022d096d0b8d0b2d0bed0b520d0bfd0b8d0b2d0be22
"Кафе ""Парус"", Привокзальная площадь, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0842968756536,61.0633736,517194713dca0a454059c7d844a01c884e40f00102f901cab5601e00000000920315d09ad0b0d184d0b52022d09fd0b0d180d183d18122
"Аюта, улица Дзержинского 94, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1068894,61.0660973,51ffa4468dae0d45405941ae5ae075884e40f00103f901d1ee784900000000920308d090d18ed182d0b0
"Канары, улица Смидовича 38А, Verkhovazhye, Vologda Oblast, Russia, 162300",42.0517627,60.7532569,518ad3ff28a006454059ba3ddfb86a604e40f00103f9010e8149520000000092030cd09ad0b0d0bdd0b0d180d18b
"бар Кубок Чемпионов, улица Гагарина, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0859513,61.065888,513b46c373000b454059695a9e046f884e40f00103f901508c625a00000000920324d0b1d0b0d18020d09ad183d0b1d0bed0ba20d0a7d0b5d0bcd0bfd0b8d0bed0bdd0bed0b2
"Малая загоровка, Шоссейная улица 1Б, Lukinskaya, Arkhangelsk Oblast, Russia, 165100",42.0944213,61.0849495,51dcc545ff150c4540595de811a0df8a4e40f00103f90182b5a75a0000000092031dd09cd0b0d0bbd0b0d18f20d0b7d0b0d0b3d0bed180d0bed0b2d0bad0b0
"Старт, улица 1-го Мая 51/43А, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0987236,61.0752497,51f4ab94f9a20c454059100540c8a1894e40f00103f9019d64c3640000000092030ad0a1d182d0b0d180d182
"Хлебо пекарня, улица Гагарина 16, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0897981,61.0660548,51185f0f817e0b4540592fa0d67b74884e40f00103f901f5b9776e00000000920319d0a5d0bbd0b5d0b1d0be20d0bfd0b5d0bad0b0d180d0bdd18f
"Жемчужина Севера, улица Дзержинского 92, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1076296,61.0667806,51710a86cec60d454059dd414a448c884e40f00103f9011d2f538e0000000092031fd096d0b5d0bcd187d183d0b6d0b8d0bdd0b020d0a1d0b5d0b2d0b5d180d0b0
"Юрмала, Пионерская улица 7А, Verkhovazhye, Vologda Oblast, Russia, 162300",42.0437931,60.7421267,512d2526039b054540599fbdfc01fe5e4e40f00103f901cfc4fd960000000092030cd0aed180d0bcd0b0d0bbd0b0
"Оранжевое настроение, Октябрьская улица 5, Verkhovazhye, Vologda Oblast, Russia, 162300",42.0461926,60.7445085,519a289da3e9054540593b4bf90d4c5f4e40f00103f901d7f43d2601000000920327d09ed180d0b0d0bdd0b6d0b5d0b2d0bed0b520d0bdd0b0d181d182d180d0bed0b5d0bdd0b8d0b5
"Столовая, улица 50 лет Октября 50, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0883879,61.0705158,515aee714b500b454059d12d6ba906894e40f00103f901e7c9552901000000920310d0a1d182d0bed0bbd0bed0b2d0b0d18f
"Рестобар ""Малина"", улица Дзержинского 97, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1090296,61.0698512,51e22593aef40d454059ed8b59e2f0884e40f00103f90183479a350100000092031fd0a0d0b5d181d182d0bed0b1d0b0d1802022d09cd0b0d0bbd0b8d0bdd0b022
"Суши Рай, Октябрьская улица 96А, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1024788,61.0687917,5144447b061e0d4540591c9f9e2ace884e40f00103f901fd687fbe0100000092030fd0a1d183d188d0b820d0a0d0b0d0b9
"Суши маркет, Советская улица 70, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1079902,61.0705252,51eda4749fd20d454059748645f806894e40f00103f9013c077def01000000920315d0a1d183d188d0b820d0bcd0b0d180d0bad0b5d182
"улица Петухова 2, Verkhovazhye, Vologda Oblast, Russia, 162300",42.0482919,60.7454915,51b394d16d2e0645405952b8f9436c5f4e40f00103f901971d1b4000000000
"Первомайская улица 17, Verkhovazhye, Vologda Oblast, Russia, 162300",42.0447711,60.7424997,512827350fbb054540593b24f03a0a5f4e40f00103f901f26aaf5200000000
"Революционная улица, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1000378,61.0728125,5191aee309ce0c45405983df88eb51894e40f00103f9011781335b00000000
"улица Ломоносова, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0984631,61.0705606,516e2e59709a0c45405942723a2108894e40f00103f90160427f5c00000000
"Тракторная улица, Vel'sk, Arkhangelsk Oblast, Russia, 165150",42.0836905,61.0692859,51313ecc5eb60a454059550a455cde884e40f00103f901fe46815c00000000
"51, Pogorelovskaya, Velsky District, Russia",42.0500626,61.0242906,5158e086736806454059930e56f41b834e40f00103f901e0ccbe5f00000000
"Новая улица 3, Verkhovazhye, Vologda Oblast, Russia, 162300",42.0465839,60.7460167,5194821376f605454059c821ac797d5f4e40f00103f901e0f43d2601000000
"улица Дзержинского 86 кВ, Vel'sk, Arkhangelsk Oblast, Russia, 165100",42.1097047,61.0688411,51d75bb9cd0a0e454059595004c9cf884e40f00103f901d084734f01000000
"Светофор, проспект Ленина 26Б, Legashevskaya, Onega, Arkhangelsk Oblast, Russia, 164844",38.1397046,63.9002515,51e60c20d7e1114340598eb9ef703bf34f40f00103f9010608078b00000000920310d0a1d0b2d0b5d182d0bed184d0bed180
"Привал, Приморская улица 14А, Poselok LDK, Onega, Arkhangelsk Oblast, Russia, 164844",38.0452544499076,63.9369237,516930cf18cb0543405903df25fcecf74f40f00102f901c06206080000000092030cd09fd180d0b8d0b2d0b0d0bb
"Старый город, проспект Кирова 148, Onega, Arkhangelsk Oblast, Russia, 164844",38.1016232545318,63.90244465,514f5eadff010d4340591010e05883f34f40f00102f9012b27350900000000920317d0a1d182d0b0d180d18bd0b920d0b3d0bed180d0bed0b4
"Лукоморье, проспект Кирова 85, Onega, Arkhangelsk Oblast, Russia, 164844",38.1035689062916,63.9017978,510362d43b410d434059416db8ae6df34f40f00102f9012c27350900000000920312d09bd183d0bad0bed0bcd0bed180d18cd0b5
"Беломорочка, проспект Ленина 186А, Onega, Arkhangelsk Oblast, Russia, 164844",38.0925767,63.9120659,51906fa58dd90b43405969824e93bef44f40f00103f901dc753c5700000000920316d091d0b5d0bbd0bed0bcd0bed180d0bed187d0bad0b0
"Перекресток, 11К-743, Пертоминское сельское поселение, Arkhangelsk Oblast, Russia",38.26149285,64.4867489,51e183f39878214340595247d6e4261f5040f00102f901721d540800000000920316d09fd0b5d180d0b5d0bad180d0b5d181d182d0bed0ba
"Столовая, Onezhsky District, Russia",37.8913172265037,63.99778335,519e353dd917f2424059a9db04c7b7ff4f40f00102f901cd5b6d1100000000920310d0a1d182d0bed0bbd0bed0b2d0b0d18f
"Гандвик, проспект Ленина 171, Onega, Arkhangelsk Oblast, Russia, 164844",38.0974633,63.9061067,51b5076bad790c434059b6f7e94dfbf34f40f00103f901e40b28570000000092030ed093d0b0d0bdd0b4d0b2d0b8d0ba
"Любимый дворик, проспект Ленина 176, Onega, Arkhangelsk Oblast, Russia, 164844",38.0977,63.907782,51db68006f810c434059bb51593332f44f40f00103f901cf8649580000000092031bd09bd18ed0b1d0b8d0bcd18bd0b920d0b4d0b2d0bed180d0b8d0ba
