0,1,2,Широта,Долгота
"Гостиница ""Парк-Отель"" ООО ""Галактика""","ООО ""Галактика""","164500, Архангельская обл., г. Северодвинск, ул. Торцева, д. 29",64.568168,39.838517
Бутик-отель «Северница» ИП Дурандина Вера Савватьевна,ИП Дурандина Вера Савватьевна,"163000, г. Архангельск, наб. Северной Двины, д. 32",64.530162,40.540232
Гостиница «Плесецкая» ИП Белоусов Руслан Сергеевич,ИП Белоусов Руслан Сергеевич,"164262, Архангельская область, рабочий поселок Плесецк, ул. Уборевича, д.7",62.707028,40.293532
Гостиница «Соловецкая слобода» ООО «Макс»,Общество с ограниченной ответственностью «Макс»,"164070, Архангельская обл., Приморский р-он, пос. Соловецкий, ул. Заозерная, д.17А",65.019366,35.711752
Гостиница «Соловки Отель» ООО «Макс»,Общество с ограниченной ответственностью «Макс»,"164070, Архангельская обл., п. Соловецкий, ул. Заозерная, д.26",65.017022,35.708946
"Гостиница «Аврора» АО ""Концерн ""НПО ""Аврора""","АО ""Концерн ""НПО ""Аврора""","164504, Северодвинск, Ломоносова, д. 51Б",64.554790,39.812943
Гостиница «Столица Поморья» ГУП АО «Фонд имущества и инвестиций»,ГУП АО «Фонд имущества и инвестиций»,"163000, Архангельская область, г. Архангельск, Набережная Северной Двины, д. 88",64.540941,40.510389
Отель «Вега» ИП Твердова Л. В.,ИП Твердова Л. В.,"163002, город Архангельск, улица Урицкого, д. 1, корп.2, вход Б",64.528951,40.556842
Корпус «Пансион»  «Лесной отель «Голубино» ООО «Голубино»,ООО «Голубино»,"164610, Архангельская обл., Пинежский р-н., пос. Голубино, д. 9",64.558731,43.268658
Гостиница «Купеческая» ГУП АО «Фонд имущества и инвестиций»,ГУП АО «Фонд имущества и инвестиций»,"165330, Архангельская обл., Сольвычегодск, ул. Советская, д. 11, пом. 2",61.331504,46.927919
Отель «Лесной отель «Голубино»  ООО «Голубино»,ООО «Голубино»,"164610, Архангельская обл., Пинежский р-н., пос. Голубино, д. 9",64.558731,43.268658
"Novotel Arkhangelsk ООО ""Дельта-Отель""","ООО ""Дельта-Отель""","г. Архангельск, наб. Северной Двины 55",64.530993,40.527018
Гостиница «Сапфир» ИП Лушникова Мария Андреевна,ИП Лушникова Мария Андреевна,"165300, Архангельская обл., г. Котлас, ул. 28-ой Невельской дивизии, д. 3,",61.239099,46.653429
Гостиница «Спорт» Частное учреждение «Стадион «Труд»,Частное учреждение «Стадион «Труд»,"165651, Архангельская область, г. Коряжма, ул. Лермонтова, д. 22, стр. 1",61.312535,47.154357
"Санаторий ""Солониха"" ЛПУ ""Санаторий ""Солониха""","Лечебно-профилактическое учреждения ""Санаторий ""Солониха""","165434, Архангельская обл., Красноборский район, деревня Курорт Солониха",61.510520,45.997471
"Гостиница «Отель на Ваге» ООО ""Поважье""","ООО ""Поважье""","165150, Архангельская обл., г. Вельск, ул. Набережная, д. 56А",61.072166,42.116775
Отель «Заря» ИП Юрик Григорий Васильевич,ИП Юрик Григорий Васильевич,"165651, Архангельская область, г. Коряжма, ул. Пушкина, д.22, корпус 4",61.310101,47.165631
Гостиница «Пинежская Слобода» ГУП АО «Фонд имущества и инвестиций»,ГУП АО «Фонд имущества и инвестиций»,"164600, Архангельская обл., Пинежский р-н, с. Карпогоры, ул. Колхозная, д.5",64.004004,44.427916
Гостиница «Беломорская» ООО «Гостиница «Беломорская»,ООО «Гостиница «Беломорская»,"163060, г. Архангельск, ул. Тимме, д. 3",64.542202,40.567112
Гостиница «Уют» АО «БЫТ»,АО «БЫТ»,"164900, Архангельская область, г.Новодвинск, ул. 50-летия Октября, д.16",64.414307,40.820444
Гостиница «АэроОтель» ООО «АэроОтель»,ООО «АэроОтель»,"163053, г. Архангельск, тер. Аэропорт Архангельск, д. 6",64.595026,40.714595
Гостиница «Никольский посад» АО «Никольский посад»,АО «Никольский посад»,"164500, Архангельская обл., г. Северодвинск, ул. Карла Маркса, д. 21",64.558395,39.796480
Гостиница «Жемчужина Севера» ООО  «ПКФ Север»,Общество с ограниченной ответственностью «ПКФ Север»,"165150, Архангельская обл., г. Вельск, ул. Дзержинского, д. 92",61.066660,42.107532
Гостиница «Сияние Севера» ООО «ПКФ Север»,Общество с ограниченной ответственностью «ПКФ Север»,"165150, Архангельская обл., г. Вельск, ул. Красная, д. 27",61.081586,42.115545
"Гостиница ""Уют"" ИП Угрюмова О.В.",ИП Угрюмова Ольга Владимировна,"165150, Вельский район, дер. Погореловская, дом 51",61.024361,42.050067
"Бутик-отель ""Троицкий"" ИП Кудрявцева Светлана Николаевна",ИП Кудрявцева Светлана Николаевна,"165150, Архангельская обл., г.Вельск, ул. Нечаевского, д.1",61.077196,42.114009
Отель  «СОВА» ИП Тарасов Николай Александрович,ИП Тарасов Николай Александрович,"165210, Устьянский район, п. Октябрьский, улица Заводская д.27д",61.091012,43.152353
"Гостиница ""Каргополь"" ООО ""Компания Соловки""","Общество с ограниченной ответственностью ""Компания Соловки""","164110, Архангельская обл., г. Каргополь, ул. Акулова, д. 23",61.505934,38.948469
"Гостиница ""Арго"" ИП Вагин Денис Станиславович",ИП Вагин Денис Станиславович,"163071 г. Архангельск, ул. Гайдара, д. 59, корпус 3",64.551060,40.550392
"Гостиница ""Подкова"" ИП Воробьева Ольга Дмитриевна",ИП Воробьева Ольга Дмитриевна,"165230, Архангельская обл., Устьянский район, д. Кононовская, ул. Спортивная, д. 10а",61.107289,43.450073
"Мини-отель ""Кают-Компания"" ООО ""АЮТА-сервис""",Общество с ограниченной ответственностью «АЮТА-сервис»,"165150, Архангельская обл., Вельский район, г. Вельск, ул. Революционная, д. 105",61.067130,42.097516
"Гостинично-ресторанный комплекс ""Юрьево Подворье"" ООО ""АЮТА-сервис""","ООО ""АЮТА-сервис""","165150, Архангельская обл., Вельский район, г. Вельск, ул. Дзержинского, д. 59",61.073946,42.113416
Гостиница «Двина» ООО ПКП «Титан»,ООО ПКП «Титан»,"163000, Архангельская обл., г. Архангельск, Троицкий пр., 52",64.535554,40.523298
Санаторий «Беломорье»  ООО «Беломорье 2021»,ООО «Беломорье 2021»,"Архангельская область, Приморский район, п. Беломорье, д.11",64.294171,40.892326
Хостел «Hostel» ИП Кайбелев А.В.,ИП Кайбелев Алексей Викторович,"165300, Архангельская область, г. Котлас, ул. Кирова, д. 60",61.254750,46.625792
Гостиница Пинежского ОП ООО ПКП «ТИТАН»,ОП ООО ПКП «ТИТАН»,"164610 Архангельская область, Пинежский район, пос. Пинега, ул. Набережная, д. 45",64.697381,43.398078
«roomi» ООО «РУМИ»,ООО «РУМИ»,"г. Архангельск, пр. Новгородский  д. 109",64.538820,40.531339
"ГОСТИНИЦА\t«ЭЛАР»\tЗАО ""Элар""","ЗАО ""Элар""","164900, Архангельская область, г. Новодвинск, ул. Советов, 4",64.412370,40.832287
Отель  «Альберт» ИП Зубова Л.Г.,ИП Зубова Людмила Геннадьевна,"165300, Архангельская обл., г. Котлас, ул. Конституции, д. 2А",61.251666,46.638449
Гостиничный комплекс «Малиновка» ООО «Корпорация развития Устьян»,ООО «Корпорация развития Устьян»,"165230, Архангельская область, Устьянский район, МО «Шангальское»,  800 м на запад от д. Кононовская",61.109419,43.441034
Хостел «Паркинг» ИП Привалов К.В.,ИП Привалов Константин Владимирович,"164520, Архангельская обл., г. Северодвинск, ул. Советская, д.27А",64.565591,39.838452
"Гостиница ""Лазурит"" ИП Радюкевич А. В.",ИП Радюкевич А. В.,"Архангельская обл., г. Северодвинск, ул. Индустриальная, д. 20 А",64.564568,39.844102
Хостел «Nice Hostel Северодвинск»  ООО «Уютный Дом»,Общество с ограниченной ответственностью «Уютный Дом»,"164520, Архангельская область, город Северодвинск, проезд Тепличный, дом 12, корпус 1",64.571880,39.859103
Гостиница «Пур-Наволок Отель» АО «Пур-Наволок Отель»,Акционерное общество «Пур-Наволок Отель»,"163000, г. Архангельск, Набережная Северной Двины, д. 88, корп. 1",64.541229,40.510848
"Санаторий «Сольвычегодск» (ул. Володарского, д. 18) ГАУЗ АО «Санаторий «Сольвычегодск»",ГАУЗ АО «Санаторий «Сольвычегодск»,"165330, Архангельская обл., Котласский р-н, г. Сольвычегодск, ул. Володарского, д. 18",61.333865,46.925089
"Санаторий «Сольвычегодск» (ул. Советская, д. 11) ГАУЗ АО «Санаторий «Сольвычегодск»",ГАУЗ АО «Санаторий «Сольвычегодск»,"165330, Архангельская обл., Котласский р-н, г. Сольвычегодск, ул. Советская, д. 11",61.331504,46.927919
Спортивно-туристический комплекс «Малиновка» ИП Счастливая Елена Александровна,ИП Счастливая Елена Александровна,"165230, Архангельская обл., Устьянский р-н, д. Малиновка, д. 17",61.127675,43.348554
"База отдыха ""Мечка"" ИП Донев Станислав Данаилов",ИП Донев Станислав Данаилов,"Архангельская область, г. Новодвинск, д. Павлово д.9",64.388839,40.858703
"Торгово-гостиничный комплекс ""Колесо"" ООО ""Поважье""","ООО ""Поважье""","165150, Архангельская область, Вельский район, дер. Шиловская, д.52А",61.010654,42.042278
"Хостел ""Docker House"" ИП Рочев Сергей Александрович",ИП Рочев Сергей Александрович,"163013, г. Архангельск, Маймаксанское шоссе д. 7, 2 этаж",64.598746,40.523685
Отель «Отель на Воскресенской» ООО «Отель на Воскресенской»,ООО «Отель на Воскресенской»,"163000, г. Архангельск, ул. Воскресенская, д. 8, 9 этаж",64.539965,40.525518
"Гостиница ""Мон Плезир"" ИП Анциферова Надежда Анатольевна",ИП Анциферова Надежда Анатольевна,"165650, Архангельская обл., г. Коряжма, ул. Чапаева, д. 1",61.307482,47.160267
"Хостел ""Молодежный"" ООО ""Молодежная""","ООО ""Молодежная""","165650, Архангельская область, г. Коряжма, ул. М.Х. Сафьяна, д. 3",61.319252,47.148717
Хостел «Белкин Дом» ИП Байдина Валентина Анатольевна,ИП Байдина Валентина Анатольевна,"Архангельская область, Ленский район, пгт. Урдома,ул Калинина, дом №21,корп.2",61.765211,48.528267
"Отель ""Советский"" ООО ""Котласлесстрой-сервис""","ООО ""Котласлесстрой-сервис""","165300, Архангельская обл., г. Котлас, ул. Карла Маркса, д. 10, корп. 1",61.253554,46.634556
"Гостиница ""Советская"" ООО ""Котласлесстрой-сервис""","ООО ""Котласлесстрой-сервис""","165300, Архангельская область, г. Котлас, ул. Карла Маркса, д. 10",61.253347,46.634833
"Отель ""Кортома"" ИП Ригоева Мария Викторовна",ИП Ригоева Мария Викторовна,"164500, Архангельская обл., г. Северодвинск, ул. Индустриальная, д. 34А",64.562981,39.833367
Хостел «Белое море» ООО «Альянс»,Общество с ограниченной ответственностью «Альянс»,"163045, Архангельская  обл., г. Архангельск, ул. Самойло, д. 17, корп. 3",64.562277,40.549853
Гостиница «Мама Леоне отель» ИП Шабаев Александр Антонович,ИП Шабаев Александр Антонович,"164509, г. Северодвинск, ул. Адмирала Нахимова, д. 3",64.592873,39.810576
Гостиница «Никольская гавань» ИП Морев Василий Викторович,ИП Морев Василий Викторович,"164509, Архангельская обл., г. Северодвинск, ул. Октябрьская, д. 3",64.597080,39.820277
КОМПЛЕКС АПАРТАМЕНТОВ «APART HOUSE CM»\tИП Засухин Александр Анатольевич,ИП Засухин Александр Анатольевич,"163000, Архангельская область, г. Архангельск, ул. Выучейского, 14",64.531160,40.539149
"База отдыха ""Медвежий угол"" ИП (КФХ) Курицын Юрий Александрович",ИП (КФХ) Курицын Юрий Александрович,"Архангельская обл., с. Красноборск, ул. Гагарина, д. 135, К1",61.559224,45.907944
"Мини-отель ""Гостиный дворик"" ИП Юрьев Андрей Анатольевич",ИП Юрьев Андрей Анатольевич,"Архангельская область, с. Красноборск, ул. Свердлова, д.13 а",61.558710,45.942844
Гостиница «Альянс» ООО «Альянс»,Общество с ограниченной ответственностью «Альянс»,"163016, Архангельская  обл., г. Архангельск, ул. Октябрьская, д. 3",64.491741,40.698430
Отель «Flagman» ИП Гусейнов Низамаддин Сахиб оглы,ИП Гусейнов Низамаддин Сахиб оглы,"163071, г. Архангельск, ул. Тимме, д. 29",64.554205,40.554139
Гостиница на Макаренко-9 АО «ЦС «Звездочка»,АО «ЦС «Звездочка»,"Архангельская обл., г. Северодвинск, ул. Макаренко, д. 9",64.593298,39.794914
Гостиница на Мира-1 АО «ЦС «Звездочка»,АО «ЦС «Звездочка»,"Архангельская обл., г. Северодвинск, ул. Мира, д. 1",64.591706,39.803976
Гостиница на Октябрьской-47 АО «ЦС «Звездочка»,АО «ЦС «Звездочка»,"Архангельская обл., г. Северодвинск, ул. Октябрьская, д. 47",64.606661,39.813548
Гостиница АО «ЦС «Звездочка»,АО «ЦС «Звездочка»,"Архангельская обл., г. Северодвинск, ул. Северная, д. 4А",64.598210,39.803067
